BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
7fefba40-153c-4bdc-b8ac-86d681d88579,682,0.318,5,approved,0,0
0ab703fc-1f47-4b6e-b9b9-10fc8cf3fd71,727,0.273,5,approved,0,0
0da49997-f569-4633-b17f-da43d312fc64,813,0.187,5,approved,0,0
3378f51d-6298-4820-9555-939641d5a850,548,0.452,3,approved,0,1
2658cdcd-28c4-4460-9634-b1a6442a03dc,853,0.147,5,approved,0,0
5a196628-8053-4185-928f-77f63f15886f,998,0.002,5,approved,0,0
3754cacc-128b-4bda-8b3d-d27a76560bbf,989,0.011,5,approved,0,0
76e59ea8-6155-4bad-b83e-681b1ee4000d,701,0.299,5,approved,0,0
838587f4-e5e6-4861-896d-876f74c07279,563,0.437,3,approved,0,0
2f81d20b-8697-4ee3-a7e0-6cc5fda74ed5,735,0.265,5,approved,0,0
2e62f0d9-28d7-4d3b-9606-7999489d9fcc,604,0.396,4,approved,0,0
5a94a661-d8eb-4e36-898a-db1f2f23efbc,492,0.508,2,denied,1,0
7c0c5170-cdd1-494f-9dfc-6872aa396353,691,0.309,5,approved,0,0
88935fb3-0c9c-4ef1-b2b1-ccdaf94fd11b,589,0.411,4,approved,0,0
2e82396d-9014-42c3-85b2-5bc24a374a2f,784,0.216,5,approved,0,0
ae18d22a-3f99-47ef-8467-51a5aa371154,728,0.272,5,approved,0,0
d5e1db90-3d9e-405e-92b9-8f9ac410834f,818,0.182,5,approved,0,0
434ad1a3-f8e7-418e-98f5-24e774258204,878,0.122,5,approved,0,0
8d2ced34-069d-4adf-998e-1a37c809a6af,766,0.234,5,approved,0,0
84b3fc0f-3088-4c7b-8e08-95b805692ad5,870,0.13,5,approved,0,0
6c088658-8259-404b-a2f6-219d271d3aaa,733,0.267,5,approved,0,0
623d4577-8472-42c5-809b-1d72d8625b8b,572,0.428,3,denied,0,0
bd95f76c-b9c9-4594-b2b4-c6daa1841a85,957,0.043,5,approved,0,0
1d33a47e-f784-48d5-b5d2-4febee80fbc2,786,0.214,5,approved,0,0
3a1cb1ac-b54e-4cfd-bbeb-f58a7edc2d4f,877,0.123,5,approved,0,0
c3199231-bcc6-4c78-9423-d75a5237d5f4,752,0.248,5,approved,0,0
29d33c2b-a7be-4bd2-8978-aac33966a3c9,611,0.389,4,approved,0,0
914df072-2067-49e3-a516-bf97e2959fd4,624,0.376,4,approved,0,0
7f6308a5-c1bd-4d67-afff-4ca1de634846,590,0.41,4,approved,0,0
24af8231-db1b-4668-893d-541340a9ac49,581,0.419,3,approved,0,1
16b49c38-6c15-47a8-ae83-3e482ac799e5,729,0.271,5,approved,0,0
aaa76b70-e929-4d97-9e48-e90778384ec8,606,0.394,4,approved,0,1
be7acd85-232a-4181-ae68-cb9a14964706,755,0.245,5,approved,0,0
a4d9b6f1-7617-46f9-8de6-6374a3017e54,608,0.392,4,approved,0,1
9fa5af64-2d8a-4088-9748-76589b10543e,617,0.383,4,approved,0,0
4b8d36bb-4f0b-42aa-bd2f-fddf35780534,789,0.211,5,approved,0,0
8b7819b0-256a-4461-9eec-b5527450df1f,951,0.049,5,approved,0,0
ad8f294f-6004-40ae-b501-d3b19c2f0b00,658,0.342,5,approved,0,0
