BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
81aaf0cf-b642-438b-a388-93529129773c,666,0.334,5,approved,0,0
a81afc80-3578-4b30-96ed-c7ca29c2408f,962,0.038,5,approved,0,0
0778284a-d033-405a-a302-10af1abe077a,700,0.3,5,approved,0,1
e9df799d-4f4d-4db7-b902-6e41c1063375,651,0.349,4,approved,0,0
4cd7e88a-918b-4b78-a10c-323897c6eac2,551,0.449,3,approved,0,0
a81fb98f-03ae-46d8-94b7-ed3da9110f27,846,0.154,5,approved,0,0
a8cf1e09-5522-4024-a375-257629842e87,613,0.387,4,approved,0,0
9d3a7a9d-6f6b-4ea2-a0e4-85dba357f9c5,544,0.456,3,approved,0,0
ab3b43a2-8e25-4d45-b9d0-22433dbd0651,572,0.428,3,approved,0,0
0bceca78-7584-42b6-8b4c-8bac92bae521,584,0.416,4,approved,0,0
61af47fb-e21a-4922-98b2-56d6367bbdc0,628,0.372,4,approved,0,1
8679973a-0372-4456-836e-1dcf382eaa17,627,0.373,4,approved,0,0
3d29e911-5ab3-4e60-9831-ff9e5894fad2,752,0.248,5,approved,0,0
5945df9b-225a-44f4-8630-fa0fc88e713f,801,0.199,5,approved,0,0
8807f034-ebee-467e-a684-23639dffaff4,852,0.148,5,approved,0,0
de689f52-5cd2-42e5-a7f6-57a30b2c4e4c,551,0.449,3,approved,0,0
e02b25c4-7cbd-452b-af70-5f560d0ad2ba,524,0.476,2,approved,0,0
bad4c894-69c5-415d-979e-44f8f247417d,914,0.086,5,approved,0,0
1f44fc00-7f69-40cc-8c85-7bb831144ce7,703,0.297,5,approved,0,0
bfb1b8c4-ee23-4839-a2d7-56490005fc50,551,0.449,3,approved,0,1
cea0e813-3340-4e8c-8a5b-e59ec4292efb,835,0.165,5,approved,0,0
fbfede11-bf23-45e7-8d5f-5d593233dbd1,985,0.015,5,approved,0,0
fa46aa82-5f5c-4131-a15b-9b8dc8dd5bf3,643,0.357,4,approved,0,0
ab8dccdb-87cd-4721-a741-dda389d955ef,661,0.339,5,approved,0,0
325e601d-cfc8-4d61-a2e5-68906bcf1c6e,719,0.281,5,approved,0,0
8f4621ed-fa82-43ed-8dc5-b360465539e0,635,0.365,4,approved,0,0
7ebce416-3382-49cf-aac0-ff34d03e6f10,611,0.389,4,approved,0,0
19feb2dd-eec4-48fa-94f4-fb4be8932def,587,0.413,4,approved,0,0
a1484b9d-4ab3-42dc-ac19-16d7586970bf,885,0.115,5,approved,0,0
d2ef909f-73e8-45ae-bb18-99bcff9c9287,621,0.379,4,approved,0,1
ae22282d-69c1-4af2-aef9-4893ea2ee79c,673,0.327,5,approved,0,0
9f55e5eb-ece2-40c4-ab32-3a9aa62cdee0,692,0.308,5,approved,0,0
162aae63-415b-48c4-93e9-cba510f99cdb,539,0.461,3,approved,0,0
ef8006da-7d09-4471-b668-762fc8448220,622,0.378,4,approved,0,0
a4c2b627-7073-4906-89dd-8fb4ddc59f84,605,0.395,4,approved,0,0
eb1f5a62-7dc2-4a5d-955e-653790b8d3ee,899,0.101,5,approved,0,0
fb43f75f-05f8-499b-8f35-6ac4d9bdfff7,631,0.369,4,approved,0,0
6e6cee31-6995-4050-8a18-4649739947d6,623,0.377,4,approved,0,0
bd4a9eae-889e-4e5f-8095-12fa40b963dd,654,0.346,5,approved,0,0
d697115b-73b6-4720-9fa6-507e59c7c7ca,597,0.403,4,approved,0,0
e92d852f-2bd0-48f4-bf67-028fa98aba7e,857,0.143,5,approved,0,0
59a345a5-ca8d-4998-81e2-ae85a74fba93,615,0.385,4,approved,0,1
f0880c02-7622-4069-9107-705906b080fc,670,0.33,5,approved,0,0
48897f91-1c4f-4d4c-8e97-8b463fae9510,887,0.113,5,approved,0,0
8cd27281-8d72-4492-8599-525ba3aa3942,562,0.438,3,approved,0,0
f242f5aa-246d-4a42-a238-ced9a641f3f7,625,0.375,4,approved,0,0
2bb4b88d-fa99-4c2b-a598-1c58eb8041ad,814,0.186,5,approved,0,0
544ff99f-138c-4274-9f8c-a7632fd55256,879,0.121,5,approved,0,0
24f114a3-10d3-4c50-9fc8-35dac4a336e4,515,0.485,2,approved,0,1
37190cea-5e01-47c5-9149-12aefc68edbd,536,0.464,3,approved,0,1
560d5e65-248c-43d5-abf0-2a5909ee0c95,651,0.349,4,approved,0,0
1f40bfa7-176b-43c2-a2af-898fe8fb7617,688,0.312,5,approved,0,0
